TransactionID,CustomerID,Amount,Date
299,5319685a4930a7f09b07583b,225,4/1/2016
296,5319685c4930a7f09b075843,896,4/1/2016
395,5319685c4930a7f09b075843,641,5/1/2016
510,5319685c4930a7f09b075843,537,6/1/2016
644,5319685c4930a7f09b075843,785,7/1/2016
295,53286368152dad0b00000006,1084,4/1/2016
48,535894e54de1c10b00000005,4,1/1/2016
84,535ff477d7d6a60b00000002,1266,2/1/2016
153,535ff477d7d6a60b00000002,2821,3/1/2016
12,536426066d63770b00000004,450,1/1/2016
59,536426066d63770b00000004,67,2/1/2016
294,5386ccdea41c0c0b00000002,1323,4/1/2016
394,5386ccdea41c0c0b00000002,5075,5/1/2016
509,5386ccdea41c0c0b00000002,1928,6/1/2016
643,5386ccdea41c0c0b00000002,533,7/1/2016
789,5386ccdea41c0c0b00000002,775,8/1/2016
40,53961db899ebe00b00000001,15,1/1/2016
76,53961db899ebe00b00000001,50,2/1/2016
196,53ab3ffca94dcd0b00000004,68,3/1/2016
280,53ab3ffca94dcd0b00000004,104,4/1/2016
384,53ab3ffca94dcd0b00000004,118,5/1/2016
502,53ab3ffca94dcd0b00000004,118,6/1/2016
636,53ab3ffca94dcd0b00000004,111,7/1/2016
782,53ab3ffca94dcd0b00000004,159,8/1/2016
867,53ce99da94107b0b00000006,1747,8/1/2016
44,5423815d1e65150b00f553b7,11,1/1/2016
239,5423815d1e65150b00f553b7,39,4/1/2016
346,5423815d1e65150b00f553b7,34,5/1/2016
465,5423815d1e65150b00f553b7,30,6/1/2016
601,5423815d1e65150b00f553b7,42,7/1/2016
116,542a4711aeacb40b00fcd0d5,11,2/1/2016
7,5431ef1221e22c0b001aeed8,35,1/1/2016
55,5431ef1221e22c0b001aeed8,62,2/1/2016
126,5431ef1221e22c0b001aeed8,68,3/1/2016
217,5431ef1221e22c0b001aeed8,16,4/1/2016
326,5431ef1221e22c0b001aeed8,7,5/1/2016
50,544d4589fe28c00b002b030b,3,1/1/2016
350,544d4589fe28c00b002b030b,4,5/1/2016
467,544d4589fe28c00b002b030b,8,6/1/2016
603,544d4589fe28c00b002b030b,27,7/1/2016
752,544d4589fe28c00b002b030b,20,8/1/2016
420,545d01da6a7c2d0b0075b916,375,5/1/2016
531,545d01da6a7c2d0b0075b916,780,6/1/2016
664,545d01da6a7c2d0b0075b916,388,7/1/2016
809,545d01da6a7c2d0b0075b916,481,8/1/2016
435,545d451b0a3d420b0098514f,53,5/1/2016
542,545d451b0a3d420b0098514f,132,6/1/2016
673,545d451b0a3d420b0098514f,64,7/1/2016
817,545d451b0a3d420b0098514f,48,8/1/2016
5,5464c71d78aae90b00b83715,387,1/1/2016
53,5464c71d78aae90b00b83715,32,2/1/2016
122,5464c71d78aae90b00b83715,20,3/1/2016
214,5464c71d78aae90b00b83715,28,4/1/2016
322,5464c71d78aae90b00b83715,26,5/1/2016
317,546d00b1df0c900b00ac2aed,12,4/1/2016
414,546d00b1df0c900b00ac2aed,47,5/1/2016
527,546d00b1df0c900b00ac2aed,68,6/1/2016
660,546d00b1df0c900b00ac2aed,197,7/1/2016
805,546d00b1df0c900b00ac2aed,148,8/1/2016
557,54abfd64d89d700b002eb3b7,125,6/1/2016
684,54abfd64d89d700b002eb3b7,473,7/1/2016
827,54abfd64d89d700b002eb3b7,544,8/1/2016
10,54b29d7994d0520b006361ec,648,1/1/2016
219,54b29d7994d0520b006361ec,21,4/1/2016
583,54b29d7994d0520b006361ec,10,7/1/2016
9,54b4208963fca30b007e787c,761,1/1/2016
11,54b6568e86e51c0b004ea969,543,1/1/2016
58,54b6568e86e51c0b004ea969,648,2/1/2016
128,54b6568e86e51c0b004ea969,286,3/1/2016
220,54b6568e86e51c0b004ea969,311,4/1/2016
328,54b6568e86e51c0b004ea969,517,5/1/2016
449,54b6568e86e51c0b004ea969,557,6/1/2016
584,54b6568e86e51c0b004ea969,563,7/1/2016
735,54b6568e86e51c0b004ea969,396,8/1/2016
24,54c2c78a9efb480c00e76b2d,93,1/1/2016
66,54c2c78a9efb480c00e76b2d,65,2/1/2016
6,54c686f94405270c0078d256,175,1/1/2016
123,54c686f94405270c0078d256,54,3/1/2016
323,54c686f94405270c0078d256,52,5/1/2016
445,54c686f94405270c0078d256,64,6/1/2016
580,54c686f94405270c0078d256,80,7/1/2016
22,54d9eebde9aa430c0047483c,95,1/1/2016
226,54d9eebde9aa430c0047483c,20,4/1/2016
56,54dcb67302dd410c00bf0b3c,3,2/1/2016
86,54e6272687aba70c001486d0,533,2/1/2016
155,54e6272687aba70c001486d0,3037,3/1/2016
245,54e6272687aba70c001486d0,2242,4/1/2016
353,54e6272687aba70c001486d0,1343,5/1/2016
471,54e6272687aba70c001486d0,2015,6/1/2016
607,54e6272687aba70c001486d0,1563,7/1/2016
756,54e6272687aba70c001486d0,1647,8/1/2016
121,54f10523ee377a1100ad6b21,1130,3/1/2016
213,54f10523ee377a1100ad6b21,336,4/1/2016
321,54f10523ee377a1100ad6b21,184,5/1/2016
444,54f10523ee377a1100ad6b21,329,6/1/2016
579,54f10523ee377a1100ad6b21,329,7/1/2016
732,54f10523ee377a1100ad6b21,206,8/1/2016
1,54f240249b561b11003a57f3,718,1/1/2016
725,54f36c6c0f2fb61100568368,29,7/1/2016
861,54f36c6c0f2fb61100568368,91,8/1/2016
4,54f65bfd70c4fa1100829f6b,3,1/1/2016
418,5500d3ded5afd71100510edc,556,5/1/2016
530,5500d3ded5afd71100510edc,1863,6/1/2016
663,5500d3ded5afd71100510edc,2570,7/1/2016
808,5500d3ded5afd71100510edc,1779,8/1/2016
298,550b30dcabf6bb1100a81db6,284,4/1/2016
397,550b30dcabf6bb1100a81db6,342,5/1/2016
512,550b30dcabf6bb1100a81db6,301,6/1/2016
