date,bus,rail,total_rides
2001-07-06,958011,643965,1601976
2001-07-07,599172,347374,946546
2001-07-08,439513,256208,695721
2001-07-09,935542,597633,1533175
2001-07-10,937066,610069,1547135
2001-07-11,960775,614294,1575069
2001-07-12,949551,636236,1585787
2001-07-13,957097,641244,1598341
2001-07-14,629660,333365,963025
2001-07-15,420137,241827,661964
2001-07-16,880246,623660,1503906
2001-07-17,920250,625940,1546190
2001-07-18,935427,612765,1548192
2001-07-19,949691,618451,1568142
2001-07-20,937942,610617,1548559
2001-07-21,593545,305457,899002
2001-07-22,379766,200473,580239
2001-07-23,854318,574685,1429003
2001-07-24,939133,630753,1569886
2001-07-25,874776,612547,1487323
2001-07-26,954848,636674,1591522
2001-07-27,933625,634484,1568109
2001-07-28,607195,357848,965043
2001-07-29,432534,236416,668950
2001-07-30,908372,586076,1494448
2001-07-31,884617,596502,1481119
2001-08-01,873553,612734,1486287
2001-08-02,790639,549367,1340006
2001-08-03,984483,603405,1587888
2001-08-04,648406,319386,967792
2001-08-05,453344,225172,678516
2001-08-06,907499,585919,1493418
2001-08-07,875431,610601,1486032
2001-08-08,854367,596163,1450530
2001-08-09,846305,602242,1448547
2001-08-10,946431,626136,1572567
2001-08-11,607614,323141,930755
2001-08-12,420182,234020,654202
2001-08-13,892382,571719,1464101
2001-08-14,866757,598019,1464776
2001-08-15,878793,584203,1462996
2001-08-16,800887,581402,1382289
2001-08-17,929083,598538,1527621
2001-08-18,569201,296970,866171
2001-08-19,439920,235842,675762
2001-08-20,876831,606101,1482932
2001-08-21,894995,608242,1503237
2001-08-22,864392,599157,1463549
2001-08-23,906026,612615,1518641
2001-08-24,926014,619276,1545290
2001-08-25,518211,290626,808837
2001-08-26,439715,245014,684729
2001-08-27,900370,590849,1491219
2001-08-28,933626,628532,1562158
2001-08-29,901782,625324,1527106
2001-08-30,913200,617044,1530244
2001-08-31,986749,616977,1603726
2001-09-01,639977,319699,959676
2001-09-02,470771,243520,714291
2001-09-03,448248,213584,661832
2001-09-04,1120482,625640,1746122
2001-09-05,1047878,644950,1692828
2001-09-06,1053246,644766,1698012
2001-09-07,1070339,659824,1730163
2001-09-08,645427,341332,986759
2001-09-09,492026,215773,707799
2001-09-10,1075781,661092,1736873
2001-09-11,957593,525953,1483546
2001-09-12,931165,588507,1519672
2001-09-13,1010171,607718,1617889
2001-09-14,1034666,613645,1648311
2001-09-15,615097,277875,892972
2001-09-16,417392,191270,608662
2001-09-17,919985,609381,1529366
2001-09-18,1039365,626518,1665883
